GENE,Neuron
TRANK1,Neuron_Neuron
ATP1A3,Neuron_Neuron
PTPN5,Neuron_Neuron
MYT1L,Neuron_Neuron
SCN2B,Neuron_Neuron
HPCA,Neuron_Neuron
GPR88,Neuron_Neuron
SYT1,Neuron_Neuron
SYT4,Neuron_Neuron
SNAP25,Neuron_Neuron
RAB3C,Neuron_Neuron
SNCA,Neuron_Neuron
PDE10A,Neuron_Neuron
RBFOX1,Neuron_Neuron
CAMK4,Neuron_Neuron
ERC2,Neuron_Neuron
CELF5,Neuron_Neuron
SLC12A5,Neuron_Neuron
CAMKV,Neuron_Neuron
BCL11B,Neuron_Neuron
CAMK2B,Neuron_Neuron
RASGEF1A,Neuron_Neuron
GAD2,Neuron_Neuron
ENO2,Neuron_Neuron
GAP43,Neuron_Neuron
GRIN2B,Neuron_Neuron
SCN2A1,Neuron_Neuron
GAD1,Neuron_Neuron
CALY,Neuron_Neuron
AI593442,Neuron_Neuron
GRM5,Neuron_Neuron
SH2D5,Neuron_Neuron
CPNE5,Neuron_Neuron
RBFOX3,Neuron_Neuron
NDRG4,Neuron_Neuron
DLGAP2,Neuron_Neuron
PDE1B,Neuron_Neuron
CX3CL1,Neuron_Neuron
CACNA2D3,Neuron_Neuron
NRSN2,Neuron_Neuron
CELF4,Neuron_Neuron
ARPP21,Neuron_Neuron
RGS9,Neuron_Neuron
FBXL16,Neuron_Neuron
CAMK2A,Neuron_Neuron
RASGRP1,Neuron_Neuron
PTPRN,Neuron_Neuron
CHN1,Neuron_Neuron
PCP4,Neuron_Neuron
HAP1,Neuron_Neuron
PCDH10,Neuron_Neuron
TENM1,Neuron_Neuron
ARHGAP6,Neuron_Neuron
PRKCH,Neuron_Neuron
FXYD5,Neuron_Neuron
SCN3B,Neuron_Neuron
PRKCG,Neuron_Neuron
MYH7,Neuron_Neuron
ILDR2,Neuron_Neuron
GPR149,Neuron_Neuron
TPBG,Neuron_Neuron
D830015G02RIK,Neuron_Neuron
TMEM191C,Neuron_Neuron
OPRK1,Neuron_Neuron
TBC1D14,Neuron_Neuron
RAB36,Neuron_Neuron
SEMA3F,Neuron_Neuron
DDX3Y,Neuron_Neuron
X5730522E02RIK,Neuron_Neuron
SEMA5B,Neuron_Neuron
X2010111I01RIK,Neuron_Neuron
LYPD1,Neuron_Neuron
PDE1C,Neuron_Neuron
EIF2S3Y,Neuron_Neuron
MFGE8,Neuron_Neuron
SPINT1,Neuron_Neuron
KREMEN1,Neuron_Neuron
SERPINE2,Neuron_Neuron
FLNA,Neuron_Neuron
RELN,Neuron_Neuron
MME,Neuron_Neuron
KALRN,Neuron_Neuron
SRGAP1,Neuron_Neuron
CDH18,Neuron_Neuron
RYR1,Neuron_Neuron
CACNA1C,Neuron_Neuron
SLITRK1,Neuron_Neuron
ZP3R,Neuron_Neuron
TRAIP,Neuron_Neuron
SMUG1,Neuron_Neuron
ZFP46,Neuron_Neuron
NRG3OS,Neuron_Neuron
SORBS2,Neuron_Neuron
ZNRF1,Neuron_Neuron
GPR155,Neuron_Neuron
CD59A,Neuron_Neuron
RNF207,Neuron_Neuron
CAR12,Neuron_Neuron
SGPP2,Neuron_Neuron
SGK1,Neuron_Neuron
ABI3BP,Neuron_Neuron
FNBP1L,Neuron_Neuron
RBM26,Neuron_Neuron
RPS6KA5,Neuron_Neuron
GM10754,Neuron_Neuron
LRTM1,Neuron_Neuron
ACTN1,Neuron_Neuron
SLC30A10,Neuron_Neuron
SAMD5,Neuron_Neuron
DOCK4,Neuron_Neuron
SLC26A10,Neuron_Neuron
MARF1,Neuron_Neuron
GULP1,Neuron_Neuron
MLLT10,Neuron_Neuron
CDH9,Neuron_Neuron
XIST,Neuron_Neuron
PCDH11X,Neuron_Neuron
STMN4,Neuron_Neuron
HIST3H2A,Neuron_Neuron
RABGAP1L,Neuron_Neuron
PODXL2,Neuron_Neuron
WSB1,Neuron_Neuron
TCEA2,Neuron_Neuron
TMEM25,Neuron_Neuron
NAP1L5,Neuron_Neuron
IQSEC3,Neuron_Neuron
ENDOD1,Neuron_Neuron
STMN3,Neuron_Neuron
TECR,Neuron_Neuron
MFN1,Neuron_Neuron
RTN3,Neuron_Neuron
TUSC3,Neuron_Neuron
X1500011B03RIK,Neuron_Neuron
STRIP2,Neuron_Neuron
PCDH9,Neuron_Neuron
GPM6A,Neuron_Neuron
LANCL1,Neuron_Neuron
NDUFA3,Neuron_Neuron
RASGRF1,Neuron_Neuron
POMGNT2,Neuron_Neuron
RASAL1,Neuron_Neuron
TMEM208,Neuron_Neuron
PGAP1,Neuron_Neuron
FAM178A,Neuron_Neuron
GSTP1,Neuron_Neuron
